time,pos_x,pos_y,pos_z,joint_pos_1,joint_pos_2,joint_pos_3
0.00000,0.36926,0.03705,0.72758,0.10000,0.07071,1.57080
0.00100,0.36883,0.03701,0.72773,0.10000,0.07115,1.57142
0.00200,0.36841,0.03696,0.72787,0.09999,0.07159,1.57205
0.00300,0.36798,0.03691,0.72802,0.09998,0.07203,1.57268
0.00400,0.36756,0.03687,0.72816,0.09997,0.07247,1.57331
0.00500,0.36714,0.03682,0.72830,0.09995,0.07290,1.57394
0.00600,0.36672,0.03677,0.72844,0.09993,0.07333,1.57457
0.00700,0.36630,0.03672,0.72858,0.09990,0.07375,1.57519
0.00800,0.36588,0.03666,0.72871,0.09987,0.07417,1.57582
0.00900,0.36546,0.03661,0.72885,0.09984,0.07459,1.57645
0.01000,0.36505,0.03655,0.72898,0.09980,0.07501,1.57708
0.01100,0.36463,0.03650,0.72911,0.09976,0.07543,1.57770
0.01200,0.36422,0.03644,0.72924,0.09972,0.07584,1.57833
0.01300,0.36381,0.03638,0.72937,0.09967,0.07624,1.57896
0.01400,0.36340,0.03632,0.72950,0.09961,0.07665,1.57958
0.01500,0.36299,0.03626,0.72962,0.09956,0.07705,1.58021
0.01600,0.36259,0.03620,0.72975,0.09950,0.07745,1.58083
0.01700,0.36218,0.03613,0.72987,0.09943,0.07785,1.58146
0.01800,0.36178,0.03607,0.72999,0.09936,0.07824,1.58208
0.01900,0.36138,0.03600,0.73011,0.09929,0.07863,1.58271
0.02000,0.36098,0.03593,0.73023,0.09921,0.07902,1.58333
0.02100,0.36058,0.03586,0.73035,0.09913,0.07940,1.58395
0.02200,0.36018,0.03579,0.73046,0.09905,0.07978,1.58458
0.02300,0.35979,0.03572,0.73057,0.09896,0.08016,1.58520
0.02400,0.35940,0.03565,0.73069,0.09887,0.08053,1.58582
0.02500,0.35900,0.03557,0.73080,0.09877,0.08090,1.58644
0.02600,0.35861,0.03550,0.73091,0.09867,0.08127,1.58706
0.02700,0.35823,0.03542,0.73101,0.09856,0.08163,1.58768
0.02800,0.35784,0.03535,0.73112,0.09846,0.08200,1.58830
0.02900,0.35745,0.03527,0.73122,0.09834,0.08235,1.58892
0.03000,0.35707,0.03519,0.73133,0.09823,0.08271,1.58953
0.03100,0.35669,0.03511,0.73143,0.09811,0.08306,1.59015
0.03200,0.35631,0.03503,0.73153,0.09799,0.08341,1.59077
0.03300,0.35593,0.03494,0.73163,0.09786,0.08375,1.59138
0.03400,0.35556,0.03486,0.73172,0.09773,0.08409,1.59200
0.03500,0.35518,0.03477,0.73182,0.09759,0.08443,1.59261
0.03600,0.35481,0.03469,0.73191,0.09745,0.08477,1.59322
0.03700,0.35444,0.03460,0.73200,0.09731,0.08510,1.59384
0.03800,0.35407,0.03451,0.73210,0.09716,0.08543,1.59445
0.03900,0.35370,0.03442,0.73218,0.09701,0.08575,1.59506
0.04000,0.35334,0.03433,0.73227,0.09686,0.08607,1.59567
0.04100,0.35298,0.03424,0.73236,0.09670,0.08639,1.59627
0.04200,0.35262,0.03415,0.73244,0.09654,0.08671,1.59688
0.04300,0.35226,0.03405,0.73253,0.09637,0.08702,1.59749
0.04400,0.35190,0.03396,0.73261,0.09620,0.08733,1.59809
0.04500,0.35155,0.03386,0.73269,0.09603,0.08763,1.59870
0.04600,0.35119,0.03377,0.73277,0.09585,0.08793,1.59930
0.04700,0.35084,0.03367,0.73285,0.09567,0.08823,1.59990
0.04800,0.35049,0.03357,0.73292,0.09549,0.08852,1.60050
0.04900,0.35014,0.03347,0.73300,0.09530,0.08881,1.60110
0.05000,0.34980,0.03337,0.73307,0.09511,0.08910,1.60170
0.05100,0.34946,0.03327,0.73314,0.09491,0.08938,1.60229
0.05200,0.34912,0.03316,0.73321,0.09471,0.08966,1.60289
0.05300,0.34878,0.03306,0.73328,0.09451,0.08994,1.60349
0.05400,0.34844,0.03296,0.73335,0.09430,0.09021,1.60408
0.05500,0.34811,0.03285,0.73341,0.09409,0.09048,1.60467
0.05600,0.34777,0.03274,0.73347,0.09387,0.09075,1.60526
0.05700,0.34744,0.03264,0.73354,0.09365,0.09101,1.60585
