Simulation Complete...
         65697726 function calls (65659680 primitive calls) in 72.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   11.095   11.095   70.765   70.765 model_v01.py:193(runSimulation)
  4499996    6.462    0.000    6.462    0.000 _methods.py:99(_clip)
   749999    6.444    0.000   10.523    0.000 garrido_brain_v00.py:82(updatePC_DCN)
   750000    6.199    0.000   45.958    0.000 garrido_brain_v00.py:109(compute)
   749999    5.013    0.000    7.923    0.000 garrido_brain_v00.py:44(updatePF_PC)
  1503000    3.999    0.000    3.999    0.000 arm_assets_v01.py:28(angle_diff)
   749999    3.476    0.000    5.515    0.000 garrido_brain_v00.py:65(updateMF_DCN)
  1502998    3.069    0.000    3.069    0.000 arm_assets_v01.py:176(forward)
  4499996    2.988    0.000   12.611    0.000 fromnumeric.py:2241(clip)
   749999    2.708    0.000    4.177    0.000 shape_base.py:380(stack)
  1500006    2.092    0.000    3.442    0.000 _linalg.py:2575(norm)
   751525    1.630    0.000    1.630    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1504502    1.629    0.000    1.629    0.000 arm_assets_v01.py:191(move)
   750000    1.623    0.000    4.060    0.000 garrido_brain_v00.py:99(dcnToTorque)
  4499996    1.622    0.000    9.623    0.000 fromnumeric.py:51(_wrapfunc)
     1500    1.410    0.001    4.971    0.003 model_v01.py:262(<listcomp>)
   750000    1.176    0.000    3.063    0.000 garrido_brain_v00.py:91(DCNCompute)
  4499996    1.102    0.000    7.564    0.000 {method 'clip' of 'numpy.ndarray' objects}
   750000    0.890    0.000    3.331    0.000 garrido_brain_v00.py:52(purkinjeCompute)
  1500007    0.708    0.000    0.708    0.000 {method 'dot' of 'numpy.ndarray' objects}
  1500038    0.559    0.000    0.559    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  4499996    0.524    0.000    0.524    0.000 fromnumeric.py:2236(_clip_dispatcher)
  4604462    0.458    0.000    0.458    0.000 {built-in method builtins.getattr}
