time,pos_x,pos_y,pos_z,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7
0.00000,0.57269,0.28124,-0.08974,-0.76253,-0.03977,0.03364,0.59438,-0.01746,1.01402,-0.02617,0.51643,0.07009,0.01794,-0.15325,0.05315,0.07947,0.41185
0.00100,0.57270,0.28086,-0.08974,-0.76201,-0.03970,0.03366,0.59424,-0.01741,1.01409,-0.02576,0.51628,0.06479,0.01791,-0.14175,0.05305,0.07322,0.41218
0.00200,0.57270,0.28048,-0.08974,-0.76150,-0.03964,0.03367,0.59410,-0.01736,1.01416,-0.02535,0.51613,0.05948,0.01789,-0.13025,0.05295,0.06697,0.41251
0.00300,0.57270,0.28010,-0.08974,-0.76098,-0.03958,0.03369,0.59398,-0.01730,1.01422,-0.02494,0.51598,0.05417,0.01783,-0.11872,0.05284,0.06072,0.41287
0.00400,0.57270,0.27973,-0.08974,-0.76047,-0.03953,0.03371,0.59386,-0.01725,1.01428,-0.02452,0.51583,0.04886,0.01778,-0.10720,0.05274,0.05447,0.41322
0.00500,0.57271,0.27935,-0.08974,-0.75995,-0.03948,0.03373,0.59377,-0.01720,1.01433,-0.02411,0.51568,0.04354,0.01772,-0.09560,0.05263,0.04872,0.41358
0.00600,0.57272,0.27897,-0.08974,-0.75943,-0.03944,0.03375,0.59367,-0.01714,1.01438,-0.02370,0.51553,0.03822,0.01766,-0.08400,0.05252,0.04297,0.41394
0.00700,0.57272,0.27860,-0.08974,-0.75892,-0.03941,0.03376,0.59360,-0.01709,1.01441,-0.02328,0.51540,0.03289,0.01760,-0.07243,0.05242,0.03647,0.41429
0.00800,0.57273,0.27822,-0.08974,-0.75840,-0.03937,0.03378,0.59353,-0.01704,1.01445,-0.02287,0.51528,0.02757,0.01754,-0.06085,0.05231,0.02997,0.41465
0.00900,0.57274,0.27784,-0.08974,-0.75789,-0.03935,0.03380,0.59348,-0.01699,1.01448,-0.02245,0.51508,0.02224,0.01747,-0.04923,0.05221,0.02397,0.41500
0.01000,0.57275,0.27747,-0.08974,-0.75737,-0.03933,0.03382,0.59343,-0.01694,1.01451,-0.02204,0.51488,0.01690,0.01740,-0.03760,0.05210,0.01797,0.41535
0.01100,0.57277,0.27709,-0.08974,-0.75686,-0.03932,0.03383,0.59340,-0.01688,1.01451,-0.02162,0.51468,0.01156,0.01734,-0.02598,0.05201,0.01172,0.41569
0.01200,0.57278,0.27671,-0.08974,-0.75634,-0.03931,0.03385,0.59338,-0.01683,1.01452,-0.02121,0.51448,0.00622,0.01728,-0.01435,0.05191,0.00547,0.41603
0.01300,0.57280,0.27634,-0.08974,-0.75583,-0.03931,0.03387,0.59337,-0.01678,1.01452,-0.02079,0.51430,0.00088,0.01721,-0.00277,0.05181,-0.00103,0.41637
0.01400,0.57281,0.27596,-0.08974,-0.75531,-0.03931,0.03388,0.59337,-0.01673,1.01452,-0.02037,0.51413,-0.00446,0.01714,0.00880,0.05171,-0.00753,0.41671
0.01500,0.57283,0.27558,-0.08974,-0.75480,-0.03932,0.03390,0.59339,-0.01668,1.01451,-0.01996,0.51395,-0.00980,0.01708,0.02040,0.05162,-0.01353,0.41704
0.01600,0.57285,0.27521,-0.08974,-0.75429,-0.03933,0.03392,0.59341,-0.01662,1.01450,-0.01954,0.51378,-0.01515,0.01701,0.03200,0.05152,-0.01953,0.41738
0.01700,0.57287,0.27483,-0.08974,-0.75377,-0.03935,0.03394,0.59346,-0.01657,1.01447,-0.01912,0.51358,-0.02048,0.01694,0.04358,0.05143,-0.02628,0.41771
0.01800,0.57289,0.27445,-0.08974,-0.75326,-0.03937,0.03395,0.59350,-0.01652,1.01444,-0.01870,0.51338,-0.02581,0.01687,0.05515,0.05133,-0.03303,0.41803
0.01900,0.57291,0.27408,-0.08974,-0.75275,-0.03940,0.03397,0.59357,-0.01647,1.01440,-0.01829,0.51313,-0.03114,0.01680,0.06678,0.05124,-0.03928,0.41836
0.02000,0.57293,0.27370,-0.08974,-0.75223,-0.03943,0.03399,0.59363,-0.01642,1.01437,-0.01787,0.51288,-0.03647,0.01673,0.07840,0.05114,-0.04553,0.41869
0.02100,0.57296,0.27332,-0.08974,-0.75172,-0.03947,0.03400,0.59372,-0.01637,1.01431,-0.01745,0.51268,-0.04180,0.01665,0.08997,0.05105,-0.05178,0.41901
0.02200,0.57298,0.27295,-0.08974,-0.75121,-0.03951,0.03402,0.59381,-0.01632,1.01426,-0.01703,0.51248,-0.04712,0.01658,0.10155,0.05095,-0.05803,0.41933
0.02300,0.57301,0.27257,-0.08974,-0.75070,-0.03956,0.03404,0.59393,-0.01627,1.01420,-0.01661,0.51225,-0.05243,0.01650,0.11310,0.05087,-0.06428,0.41964
0.02400,0.57304,0.27220,-0.08974,-0.75018,-0.03962,0.03405,0.59404,-0.01622,1.01413,-0.01619,0.51203,-0.05774,0.01642,0.12465,0.05078,-0.07053,0.41995
0.02500,0.57307,0.27182,-0.08974,-0.74967,-0.03968,0.03407,0.59417,-0.01616,1.01406,-0.01577,0.51183,-0.06305,0.01634,0.13615,0.05069,-0.07628,0.42025
0.02600,0.57310,0.27144,-0.08974,-0.74916,-0.03974,0.03409,0.59431,-0.01611,1.01398,-0.01535,0.51163,-0.06836,0.01626,0.14765,0.05060,-0.08203,0.42056
0.02700,0.57313,0.27107,-0.08974,-0.74865,-0.03982,0.03410,0.59447,-0.01606,1.01389,-0.01493,0.51143,-0.07365,0.01618,0.15915,0.05052,-0.08803,0.42086
0.02800,0.57316,0.27069,-0.08974,-0.74814,-0.03989,0.03412,0.59463,-0.01601,1.01380,-0.01451,0.51123,-0.07894,0.01610,0.17065,0.05044,-0.09403,0.42116
0.02900,0.57319,0.27032,-0.08974,-0.74763,-0.03997,0.03413,0.59481,-0.01596,1.01370,-0.01409,0.51100,-0.08421,0.01602,0.18215,0.05035,-0.10028,0.42145
0.03000,0.57323,0.26994,-0.08974,-0.74711,-0.04006,0.03415,0.59499,-0.01591,1.01361,-0.01366,0.51078,-0.08949,0.01594,0.19365,0.05026,-0.10653,0.42174
0.03100,0.57326,0.26957,-0.08974,-0.74660,-0.04015,0.03417,0.59520,-0.01586,1.01349,-0.01324,0.51058,-0.09476,0.01586,0.20515,0.05018,-0.11303,0.42203
0.03200,0.57330,0.26919,-0.08974,-0.74609,-0.04025,0.03418,0.59540,-0.01581,1.01338,-0.01282,0.51038,-0.10002,0.01578,0.21665,0.05010,-0.11953,0.42231
0.03300,0.57334,0.26882,-0.08974,-0.74558,-0.04035,0.03420,0.59563,-0.01576,1.01325,-0.01240,0.51013,-0.10526,0.01570,0.22805,0.05002,-0.12578,0.42259
0.03400,0.57338,0.26844,-0.08974,-0.74507,-0.04046,0.03421,0.59586,-0.01571,1.01312,-0.01198,0.50988,-0.11050,0.01561,0.23945,0.04994,-0.13203,0.42287
0.03500,0.57342,0.26807,-0.08974,-0.74456,-0.04057,0.03423,0.59611,-0.01566,1.01299,-0.01155,0.50963,-0.11573,0.01552,0.25080,0.04985,-0.13803,0.42315
0.03600,0.57346,0.26769,-0.08974,-0.74405,-0.04069,0.03424,0.59636,-0.01561,1.01285,-0.01113,0.50938,-0.12095,0.01544,0.26215,0.04977,-0.14403,0.42342
