time,pos_x,pos_y,pos_z,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7
0,0.572695,0.281235,-0.089736,-0.76252975,-0.03976575,0.033638525,0.594384,-0.0174617,1.014016,-0.026173635,0.5164346,0.07009215,0.017942378,-0.15325,0.053145294,0.0794738,0.411851943
0.002,0.572697,0.280481,-0.089736,-0.761496497,-0.039636093,0.033674453,0.5941003,-0.017355521,1.014159944,-0.025349392,0.516128301,0.0594832,0.01788518,-0.13025,0.052948005,0.0669724,0.412511386
0.004,0.572704,0.279727,-0.089736,-0.760465244,-0.039527736,0.03371008,0.5938626,-0.017249842,1.014283888,-0.02452367,0.515826504,0.048863499,0.017778819,-0.1072,0.052739485,0.054472001,0.413218903
0.006,0.572716,0.278973,-0.089736,-0.759433991,-0.039440679,0.033745608,0.5936719,-0.017144563,1.014377832,-0.023696497,0.51552651,0.038218498,0.017663772,-0.084,0.052524463,0.042972002,0.413941982
0.008,0.572732,0.278219,-0.089736,-0.758402738,-0.039374822,0.033780736,0.5935262,-0.017039784,1.014451776,-0.022867894,0.515276521,0.027568496,0.017538688,-0.06085,0.052314423,0.029972005,0.414646123
0.01,0.572754,0.277466,-0.089736,-0.757372485,-0.039330365,0.033815763,0.5934285,-0.016935305,1.01450572,-0.02203786,0.514876539,0.016903494,0.017403556,-0.0376,0.05210436,0.017972009,0.415348845
0.012,0.57278,0.276712,-0.089736,-0.756343232,-0.039307208,0.03385039,0.5933758,-0.016831327,1.014519664,-0.021206527,0.514476564,0.006218489,0.017283365,-0.01435,0.05190927,0.005472014,0.416032167
0.014,0.572811,0.275959,-0.089736,-0.755314979,-0.039305451,0.033884816,0.5933711,-0.016727748,1.014523608,-0.020373692,0.514126598,-0.004461516,0.017143104,0.0088,0.051714146,-0.007527978,0.416707607
0.016,0.572846,0.275206,-0.089736,-0.754286725,-0.039325094,0.033919042,0.5934114,-0.01662447,1.014497552,-0.019539656,0.513776643,-0.015146524,0.017012763,0.032,0.051518984,-0.019527968,0.417378182
0.018,0.572886,0.274453,-0.089736,-0.753259472,-0.039366037,0.033952868,0.5934987,-0.016521592,1.014441496,-0.018704219,0.5133767,-0.025811533,0.016872332,0.05515,0.051333779,-0.033027956,0.418033908
0.02,0.572931,0.2737,-0.089736,-0.752233219,-0.03942838,0.033986492,0.593632,-0.016419215,1.01436544,-0.017867481,0.51287677,-0.036471545,0.016726802,0.0784,0.051138527,-0.04552794,0.418694801
