time,pos_x,pos_y,pos_z
0,0.572695,0.281235,-0.089736
0.002,0.572697,0.280481,-0.089736
0.004,0.572704,0.279727,-0.089736
0.006,0.572716,0.278973,-0.089736
0.008,0.572732,0.278219,-0.089736
0.01,0.572754,0.277466,-0.089736
0.012,0.57278,0.276712,-0.089736
0.014,0.572811,0.275959,-0.089736
0.016,0.572846,0.275206,-0.089736
0.018,0.572886,0.274453,-0.089736
0.02,0.572931,0.2737,-0.089736
0.022,0.572981,0.272948,-0.089736
0.024,0.573036,0.272196,-0.089736
0.026,0.573095,0.271444,-0.089736
0.028,0.573159,0.270693,-0.089736
0.03,0.573227,0.269942,-0.089736
0.032,0.5733,0.269192,-0.089736
0.034,0.573378,0.268442,-0.089736
0.036,0.573461,0.267692,-0.089736
0.038,0.573549,0.266943,-0.089736
0.04,0.573641,0.266195,-0.089736
0.042,0.573738,0.265447,-0.089736
0.044,0.573839,0.2647,-0.089736
0.046,0.573945,0.263954,-0.089736
0.048,0.574056,0.263208,-0.089736
0.05,0.574172,0.262463,-0.089736
0.052,0.574292,0.261718,-0.089736
0.054,0.574417,0.260975,-0.089736
0.056,0.574547,0.260232,-0.089736
0.058,0.574681,0.25949,-0.089736
0.06,0.57482,0.258749,-0.089736
0.062,0.574964,0.258009,-0.089736
0.064,0.575112,0.25727,-0.089736
0.066,0.575265,0.256531,-0.089736
0.068,0.575422,0.255794,-0.089736
0.07,0.575585,0.255058,-0.089736
0.072,0.575751,0.254322,-0.089736
0.074,0.575923,0.253588,-0.089736
0.076,0.576099,0.252855,-0.089736
0.078,0.576279,0.252123,-0.089736
0.08,0.576465,0.251392,-0.089736
0.082,0.576654,0.250662,-0.089736
0.084,0.576849,0.249934,-0.089736
0.086,0.577048,0.249207,-0.089736
0.088,0.577251,0.248481,-0.089736
0.09,0.577459,0.247756,-0.089736
0.092,0.577672,0.247033,-0.089736
0.094,0.577889,0.246311,-0.089736
0.096,0.578111,0.24559,-0.089736
0.098,0.578337,0.244871,-0.089736
0.1,0.578568,0.244153,-0.089736
0.102,0.578803,0.243437,-0.089736
0.104,0.579043,0.242722,-0.089736
0.106,0.579287,0.242008,-0.089736
0.108,0.579536,0.241297,-0.089736
0.11,0.579789,0.240586,-0.089736
0.112,0.580047,0.239878,-0.089736
0.114,0.580309,0.239171,-0.089736
0.116,0.580575,0.238465,-0.089736
0.118,0.580846,0.237762,-0.089736
0.12,0.581121,0.23706,-0.089736
0.122,0.581401,0.23636,-0.089736
0.124,0.581685,0.235661,-0.089736
0.126,0.581974,0.234965,-0.089736
0.128,0.582267,0.23427,-0.089736
0.13,0.582564,0.233577,-0.089736
0.132,0.582866,0.232886,-0.089736
0.134,0.583172,0.232197,-0.089736
0.136,0.583482,0.23151,-0.089736
0.138,0.583796,0.230825,-0.089736
0.14,0.584115,0.230141,-0.089736
0.142,0.584439,0.22946,-0.089736
0.144,0.584766,0.228781,-0.089736
0.146,0.585098,0.228104,-0.089736
0.148,0.585434,0.227429,-0.089736
0.15,0.585774,0.226756,-0.089736
0.152,0.586118,0.226085,-0.089736
0.154,0.586467,0.225417,-0.089736
0.156,0.58682,0.22475,-0.089736
0.158,0.587177,0.224086,-0.089736
0.16,0.587538,0.223424,-0.089736
0.162,0.587903,0.222765,-0.089736
0.164,0.588273,0.222108,-0.089736
0.166,0.588646,0.221453,-0.089736
0.168,0.589024,0.2208,-0.089736
0.17,0.589406,0.22015,-0.089736
0.172,0.589791,0.219502,-0.089736
0.174,0.590181,0.218857,-0.089736
0.176,0.590575,0.218214,-0.089736
0.178,0.590973,0.217574,-0.089736
0.18,0.591375,0.216936,-0.089736
0.182,0.591781,0.2163,-0.089736
0.184,0.592191,0.215668,-0.089736
0.186,0.592605,0.215037,-0.089736
0.188,0.593023,0.21441,-0.089736
0.19,0.593445,0.213785,-0.089736
0.192,0.593871,0.213163,-0.089736
0.194,0.5943,0.212543,-0.089736
0.196,0.594734,0.211926,-0.089736
0.198,0.595171,0.211312,-0.089736
0.2,0.595613,0.210701,-0.089736
0.202,0.596058,0.210092,-0.089736
0.204,0.596507,0.209486,-0.089736
0.206,0.596959,0.208883,-0.089736
0.208,0.597416,0.208283,-0.089736
0.21,0.597876,0.207686,-0.089736
0.212,0.59834,0.207092,-0.089736
0.214,0.598808,0.2065,-0.089736
0.216,0.599279,0.205912,-0.089736
0.218,0.599754,0.205326,-0.089736
0.22,0.600233,0.204744,-0.089736
0.222,0.600715,0.204165,-0.089736
0.224,0.601201,0.203588,-0.089736
0.226,0.601691,0.203015,-0.089736
0.228,0.602184,0.202445,-0.089736
0.23,0.602681,0.201877,-0.089736
0.232,0.603182,0.201313,-0.089736
0.234,0.603686,0.200753,-0.089736
0.236,0.604193,0.200195,-0.089736
0.238,0.604704,0.199641,-0.089736
0.24,0.605218,0.199089,-0.089736
0.242,0.605736,0.198541,-0.089736
0.244,0.606258,0.197997,-0.089736
0.246,0.606782,0.197455,-0.089736
0.248,0.60731,0.196917,-0.089736
0.25,0.607842,0.196382,-0.089736
0.252,0.608377,0.195851,-0.089736
0.254,0.608915,0.195323,-0.089736
0.256,0.609456,0.194798,-0.089736
0.258,0.610001,0.194277,-0.089736
0.26,0.610549,0.193759,-0.089736
0.262,0.6111,0.193244,-0.089736
0.264,0.611655,0.192733,-0.089736
0.266,0.612212,0.192226,-0.089736
0.268,0.612773,0.191722,-0.089736
0.27,0.613337,0.191222,-0.089736
0.272,0.613904,0.190725,-0.089736
0.274,0.614475,0.190231,-0.089736
