time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.00000,0.50000,0.21502,0.18502,0.00000,0.62832,1.25664,0.00000,-0.00000,-0.00000
0.00067,0.50000,0.21544,0.18586,0.00000,0.62831,1.25659,0.00000,-0.01654,-0.13229
0.00133,0.50000,0.21586,0.18670,0.00000,0.62830,1.25646,0.00000,-0.03307,-0.26457
0.00200,0.50000,0.21628,0.18753,0.00000,0.62827,1.25624,0.00000,-0.04961,-0.39684
0.00267,0.50000,0.21670,0.18837,0.00000,0.62823,1.25593,0.00000,-0.06614,-0.52907
0.00333,0.50000,0.21711,0.18921,0.00000,0.62818,1.25553,0.00000,-0.08268,-0.66127
0.00400,0.50000,0.21753,0.19004,0.00000,0.62812,1.25505,0.00000,-0.09921,-0.79343
0.00467,0.50000,0.21795,0.19088,0.00000,0.62805,1.25448,0.00000,-0.11574,-0.92552
0.00533,0.50000,0.21837,0.19172,0.00000,0.62797,1.25382,0.00000,-0.13227,-1.05756
0.00600,0.50000,0.21879,0.19255,0.00000,0.62787,1.25307,0.00000,-0.14879,-1.18951
0.00667,0.50000,0.21921,0.19339,0.00000,0.62777,1.25223,0.00000,-0.16532,-1.32139
0.00733,0.50000,0.21963,0.19422,0.00000,0.62765,1.25131,0.00000,-0.18184,-1.45317
0.00800,0.50000,0.22004,0.19506,0.00000,0.62752,1.25029,0.00000,-0.19836,-1.58485
0.00867,0.50000,0.22046,0.19589,0.00000,0.62739,1.24919,0.00000,-0.21487,-1.71642
0.00933,0.50000,0.22088,0.19672,0.00000,0.62724,1.24800,0.00000,-0.23138,-1.84786
0.01000,0.50000,0.22130,0.19755,0.00000,0.62708,1.24673,0.00000,-0.24789,-1.97918
0.01067,0.50000,0.22172,0.19838,0.00000,0.62691,1.24536,0.00000,-0.26439,-2.11036
0.01133,0.50000,0.22213,0.19921,0.00000,0.62673,1.24391,0.00000,-0.28089,-2.24139
0.01200,0.50000,0.22255,0.20004,0.00000,0.62653,1.24238,0.00000,-0.29738,-2.37227
0.01267,0.50000,0.22297,0.20087,0.00000,0.62633,1.24075,0.00000,-0.31387,-2.50297
0.01333,0.50000,0.22339,0.20170,0.00000,0.62611,1.23904,0.00000,-0.33035,-2.63351
0.01400,0.50000,0.22381,0.20252,0.00000,0.62589,1.23724,0.00000,-0.34682,-2.76385
0.01467,0.50000,0.22422,0.20335,0.00000,0.62565,1.23535,0.00000,-0.36329,-2.89401
0.01533,0.50000,0.22464,0.20417,0.00000,0.62540,1.23338,0.00000,-0.37976,-3.02396
0.01600,0.50000,0.22506,0.20499,0.00000,0.62515,1.23132,0.00000,-0.39621,-3.15369
0.01667,0.50000,0.22547,0.20581,0.00000,0.62488,1.22918,0.00000,-0.41266,-3.28321
0.01733,0.50000,0.22589,0.20663,0.00000,0.62460,1.22694,0.00000,-0.42910,-3.41250
0.01800,0.50000,0.22631,0.20745,0.00000,0.62430,1.22463,0.00000,-0.44554,-3.54154
0.01867,0.50000,0.22672,0.20826,0.00000,0.62400,1.22222,0.00000,-0.46197,-3.67034
0.01933,0.50000,0.22714,0.20908,0.00000,0.62369,1.21973,0.00000,-0.47839,-3.79888
0.02000,0.50000,0.22755,0.20989,0.00000,0.62336,1.21716,0.00000,-0.49480,-3.92715
0.02067,0.50000,0.22797,0.21070,0.00000,0.62303,1.21450,0.00000,-0.51120,-4.05515
0.02133,0.50000,0.22838,0.21151,0.00000,0.62268,1.21175,0.00000,-0.52759,-4.18286
0.02200,0.50000,0.22880,0.21232,0.00000,0.62233,1.20892,0.00000,-0.54397,-4.31028
0.02267,0.50000,0.22921,0.21312,0.00000,0.62196,1.20600,0.00000,-0.56035,-4.43740
0.02333,0.50000,0.22963,0.21392,0.00000,0.62158,1.20300,0.00000,-0.57671,-4.56421
0.02400,0.50000,0.23004,0.21472,0.00000,0.62119,1.19992,0.00000,-0.59307,-4.69069
0.02467,0.50000,0.23046,0.21552,0.00000,0.62079,1.19675,0.00000,-0.60941,-4.81685
0.02533,0.50000,0.23087,0.21632,0.00000,0.62038,1.19350,0.00000,-0.62574,-4.94267
0.02600,0.50000,0.23128,0.21711,0.00000,0.61995,1.19016,0.00000,-0.64207,-5.06814
0.02667,0.50000,0.23170,0.21791,0.00000,0.61952,1.18674,0.00000,-0.65838,-5.19325
0.02733,0.50000,0.23211,0.21870,0.00000,0.61908,1.18323,0.00000,-0.67468,-5.31801
0.02800,0.50000,0.23252,0.21948,0.00000,0.61862,1.17965,0.00000,-0.69096,-5.44238
0.02867,0.50000,0.23293,0.22027,0.00000,0.61815,1.17598,0.00000,-0.70724,-5.56638
0.02933,0.50000,0.23335,0.22105,0.00000,0.61768,1.17223,0.00000,-0.72350,-5.68998
0.03000,0.50000,0.23376,0.22183,0.00000,0.61719,1.16839,0.00000,-0.73975,-5.81319
0.03067,0.50000,0.23417,0.22261,0.00000,0.61669,1.16448,0.00000,-0.75599,-5.93599
0.03133,0.50000,0.23458,0.22339,0.00000,0.61618,1.16048,0.00000,-0.77221,-6.05837
0.03200,0.50000,0.23499,0.22416,0.00000,0.61566,1.15640,0.00000,-0.78842,-6.18033
0.03267,0.50000,0.23540,0.22493,0.00000,0.61513,1.15224,0.00000,-0.80462,-6.30185
