time,pos_x,pos_y,pos_z,joint_pos_1,joint_pos_2,joint_pos_3
0.00000,0.41520,0.04166,0.68145,0.10000,0.07071,1.57080
0.00100,0.41535,0.04167,0.68102,0.10000,0.07115,1.57142
0.00200,0.41549,0.04169,0.68059,0.09999,0.07159,1.57205
0.00300,0.41564,0.04170,0.68016,0.09998,0.07203,1.57268
0.00400,0.41578,0.04170,0.67974,0.09997,0.07247,1.57331
0.00500,0.41592,0.04171,0.67931,0.09995,0.07290,1.57394
0.00600,0.41606,0.04172,0.67889,0.09993,0.07333,1.57457
0.00700,0.41620,0.04172,0.67847,0.09990,0.07375,1.57519
0.00800,0.41633,0.04172,0.67804,0.09987,0.07417,1.57582
0.00900,0.41647,0.04172,0.67763,0.09984,0.07459,1.57645
0.01000,0.41660,0.04172,0.67721,0.09980,0.07501,1.57708
0.01100,0.41674,0.04171,0.67679,0.09976,0.07543,1.57770
0.01200,0.41687,0.04171,0.67637,0.09972,0.07584,1.57833
0.01300,0.41700,0.04170,0.67596,0.09967,0.07624,1.57896
0.01400,0.41713,0.04169,0.67555,0.09961,0.07665,1.57958
0.01500,0.41726,0.04168,0.67513,0.09956,0.07705,1.58021
0.01600,0.41738,0.04167,0.67472,0.09950,0.07745,1.58083
0.01700,0.41751,0.04165,0.67432,0.09943,0.07785,1.58146
0.01800,0.41763,0.04163,0.67391,0.09936,0.07824,1.58208
0.01900,0.41775,0.04161,0.67350,0.09929,0.07863,1.58271
0.02000,0.41788,0.04159,0.67310,0.09921,0.07902,1.58333
0.02100,0.41799,0.04157,0.67269,0.09913,0.07940,1.58395
0.02200,0.41811,0.04155,0.67229,0.09905,0.07978,1.58458
0.02300,0.41823,0.04152,0.67189,0.09896,0.08016,1.58520
0.02400,0.41835,0.04150,0.67149,0.09887,0.08053,1.58582
0.02500,0.41846,0.04147,0.67110,0.09877,0.08090,1.58644
0.02600,0.41857,0.04143,0.67070,0.09867,0.08127,1.58706
0.02700,0.41868,0.04140,0.67031,0.09856,0.08163,1.58768
0.02800,0.41879,0.04137,0.66992,0.09846,0.08200,1.58830
0.02900,0.41890,0.04133,0.66953,0.09834,0.08235,1.58892
0.03000,0.41901,0.04129,0.66914,0.09823,0.08271,1.58953
0.03100,0.41912,0.04125,0.66875,0.09811,0.08306,1.59015
0.03200,0.41922,0.04121,0.66836,0.09799,0.08341,1.59077
0.03300,0.41933,0.04117,0.66798,0.09786,0.08375,1.59138
0.03400,0.41943,0.04112,0.66760,0.09773,0.08409,1.59200
0.03500,0.41953,0.04107,0.66722,0.09759,0.08443,1.59261
0.03600,0.41963,0.04102,0.66684,0.09745,0.08477,1.59322
0.03700,0.41973,0.04097,0.66646,0.09731,0.08510,1.59384
0.03800,0.41982,0.04092,0.66609,0.09716,0.08543,1.59445
0.03900,0.41992,0.04087,0.66571,0.09701,0.08575,1.59506
0.04000,0.42001,0.04081,0.66534,0.09686,0.08607,1.59567
0.04100,0.42010,0.04075,0.66497,0.09670,0.08639,1.59627
0.04200,0.42020,0.04069,0.66460,0.09654,0.08671,1.59688
0.04300,0.42029,0.04063,0.66424,0.09637,0.08702,1.59749
0.04400,0.42037,0.04057,0.66387,0.09620,0.08733,1.59809
0.04500,0.42046,0.04050,0.66351,0.09603,0.08763,1.59870
0.04600,0.42055,0.04043,0.66315,0.09585,0.08793,1.59930
0.04700,0.42063,0.04037,0.66279,0.09567,0.08823,1.59990
0.04800,0.42072,0.04030,0.66243,0.09549,0.08852,1.60050
0.04900,0.42080,0.04022,0.66208,0.09530,0.08881,1.60110
0.05000,0.42088,0.04015,0.66172,0.09511,0.08910,1.60170
0.05100,0.42096,0.04007,0.66137,0.09491,0.08938,1.60229
0.05200,0.42103,0.04000,0.66102,0.09471,0.08966,1.60289
0.05300,0.42111,0.03992,0.66068,0.09451,0.08994,1.60349
0.05400,0.42119,0.03984,0.66033,0.09430,0.09021,1.60408
0.05500,0.42126,0.03975,0.65999,0.09409,0.09048,1.60467
0.05600,0.42133,0.03967,0.65965,0.09387,0.09075,1.60526
0.05700,0.42140,0.03958,0.65931,0.09365,0.09101,1.60585
0.05800,0.42147,0.03949,0.65897,0.09343,0.09127,1.60644
0.05900,0.42154,0.03940,0.65864,0.09321,0.09152,1.60702
0.06000,0.42161,0.03931,0.65831,0.09298,0.09178,1.60761
0.06100,0.42168,0.03922,0.65797,0.09274,0.09202,1.60819
0.06200,0.42174,0.03913,0.65765,0.09251,0.09227,1.60877
0.06300,0.42180,0.03903,0.65732,0.09227,0.09251,1.60935
0.06400,0.42187,0.03893,0.65700,0.09202,0.09274,1.60993
0.06500,0.42193,0.03883,0.65667,0.09178,0.09298,1.61051
0.06600,0.42199,0.03873,0.65635,0.09152,0.09321,1.61109
0.06700,0.42204,0.03863,0.65604,0.09127,0.09343,1.61166
0.06800,0.42210,0.03852,0.65572,0.09101,0.09365,1.61223
0.06900,0.42216,0.03842,0.65541,0.09075,0.09387,1.61280
0.07000,0.42221,0.03831,0.65510,0.09048,0.09409,1.61337
0.07100,0.42226,0.03820,0.65479,0.09021,0.09430,1.61394
0.07200,0.42231,0.03809,0.65448,0.08994,0.09451,1.61451
0.07300,0.42236,0.03797,0.65418,0.08966,0.09471,1.61507
0.07400,0.42241,0.03786,0.65388,0.08938,0.09491,1.61563
0.07500,0.42246,0.03774,0.65358,0.08910,0.09511,1.61620
0.07600,0.42251,0.03762,0.65328,0.08881,0.09530,1.61675
0.07700,0.42255,0.03750,0.65298,0.08852,0.09549,1.61731
0.07800,0.42259,0.03738,0.65269,0.08823,0.09567,1.61787
0.07900,0.42264,0.03726,0.65240,0.08793,0.09585,1.61842
0.08000,0.42268,0.03713,0.65211,0.08763,0.09603,1.61897
0.08100,0.42272,0.03701,0.65183,0.08733,0.09620,1.61952
0.08200,0.42275,0.03688,0.65154,0.08702,0.09637,1.62007
0.08300,0.42279,0.03675,0.65126,0.08671,0.09654,1.62061
0.08400,0.42283,0.03662,0.65098,0.08639,0.09670,1.62116
0.08500,0.42286,0.03649,0.65071,0.08607,0.09686,1.62170
0.08600,0.42289,0.03635,0.65043,0.08575,0.09701,1.62224
0.08700,0.42293,0.03622,0.65016,0.08543,0.09716,1.62278
0.08800,0.42296,0.03608,0.64989,0.08510,0.09731,1.62331
0.08900,0.42299,0.03594,0.64963,0.08477,0.09745,1.62385
0.09000,0.42301,0.03580,0.64936,0.08443,0.09759,1.62438
0.09100,0.42304,0.03566,0.64910,0.08409,0.09773,1.62491
0.09200,0.42307,0.03552,0.64884,0.08375,0.09786,1.62544
0.09300,0.42309,0.03537,0.64859,0.08341,0.09799,1.62596
0.09400,0.42311,0.03522,0.64833,0.08306,0.09811,1.62648
